TOTAL CLASSES: 1588

__AbsoluteTimerInstruction  | methods: 
MSLSA_LookupIsolatedNameInTrustedDomains_TypeGroup1  | methods: 
MSLSATrace  | methods: 
MSMCAEvent_BusError  | methods: 
MSMCAEvent_CPUError  | methods: 
MSMCAEvent_Header  | methods: 
MSMCAEvent_InvalidError  | methods: 
MSMCAEvent_MemoryError  | methods: 
MSMCAEvent_MemoryHierarchyError  | methods: 
MSMCAEvent_MemoryPageRemoved  | methods: 
MSMCAEvent_PCIBusError  | methods: 
MSMCAEvent_PCIComponentError  | methods: 
MSMCAEvent_PlatformSpecificError  | methods: 
MSMCAEvent_SMBIOSError  | methods: 
MSMCAEvent_SwitchToCMCPolling  | methods: 
MSMCAEvent_SwitchToCPEPolling  | methods: 
MSMCAEvent_SystemEventError  | methods: 
MSMCAEvent_TLBError  | methods: 
MSMCAInfo  | methods: 
MSMCAInfo_Entry  | methods: 
MSMCAInfo_RawCMCEvent  | methods: 
MSMCAInfo_RawCorrectedPlatformEvent  | methods: 
MSMCAInfo_RawMCAData  | methods: 
MSMCAInfo_RawMCAEvent  | methods: 
MSMonitorClass  | methods: 
MSMouse  | methods: 
MSMouse_ClassInformation  | methods: 
MSMouse_PortInformation  | methods: 
MSNdis  | methods: 
MSNdis_80211_AddWEP  | methods: 
MSNdis_80211_AuthenticationMode  | methods: 
MSNdis_80211_BaseServiceSetIdentifier  | methods: 
MSNdis_80211_BssIdListScan  | methods: 
MSNdis_80211_BSSIList  | methods: 
MSNdis_80211_Configuration  | methods: 
MSNdis_80211_ConfigurationFH  | methods: 
MSNdis_80211_ConfigurationInfo  | methods: 
MSNdis_80211_DataRates  | methods: 
MSNdis_80211_DesiredDataRates  | methods: 
MSNdis_80211_Disassociate  | methods: 
MSNdis_80211_FragmentationThreshold  | methods: 
MSNdis_80211_InfrastructureMode  | methods: 
MSNdis_80211_NetworkInfrastructure  | methods: 
MSNdis_80211_NetworkType  | methods: 
MSNdis_80211_NetworkTypeInUse  | methods: 
MSNdis_80211_NetworkTypesSupported  | methods: 
MSNdis_80211_NumberOfAntennas  | methods: 
MSNdis_80211_PowerMode  | methods: 
MSNdis_80211_PrivacyFilter  | methods: 
MSNdis_80211_ReceiveAntennaSelected  | methods: 
MSNdis_80211_ReceivedSignalStrength  | methods: 
MSNdis_80211_ReceivedSignalStrengthEventTrigger  | methods: 
MSNdis_80211_ReloadDefaults  | methods: 
MSNdis_80211_RemoveWEP  | methods: 
MSNdis_80211_RTSThreshold  | methods: 
MSNdis_80211_ServiceSetIdentifier  | methods: 
MSNdis_80211_Statistics  | methods: 
MSNdis_80211_TransmitAntennaSelected  | methods: 
MSNdis_80211_TransmitPowerLevel  | methods: 
MSNdis_80211_WEPStatus  | methods: 
MSNdis_80211_WLanBssId  | methods: 
MSNdis_AtmHardwareCurrentAddress  | methods: 
MSNdis_AtmMaxAal0PacketSize  | methods: 
MSNdis_AtmMaxAal1PacketSize  | methods: 
MSNdis_AtmMaxAal34PacketSize  | methods: 
MSNdis_AtmMaxAal5PacketSize  | methods: 
MSNdis_AtmMaxActiveVciBits  | methods: 
MSNdis_AtmMaxActiveVcs  | methods: 
MSNdis_AtmMaxActiveVpiBits  | methods: 
MSNdis_AtmReceiveCellsDropped  | methods: 
MSNdis_AtmReceiveCellsOk  | methods: 
MSNdis_AtmSupportedAalTypes  | methods: 
MSNdis_AtmSupportedServiceCategory  | methods: 
MSNdis_AtmSupportedVcRates  | methods: 
MSNdis_AtmTransmitCellsOk  | methods: 
MSNdis_CoDriverVersion  | methods: 
MSNdis_CoHardwareStatus  | methods: 
MSNdis_CoLinkSpeed  | methods: 
MSNdis_CoMacOptions  | methods: 
MSNdis_CoMediaConnectStatus  | methods: 
MSNdis_CoMediaInUse  | methods: 
MSNdis_CoMediaSupported  | methods: 
MSNdis_CoMinimumLinkSpeed  | methods: 
MSNdis_CoReceivePduErrors  | methods: 
MSNdis_CoReceivePdusNoBuffer  | methods: 
MSNdis_CoReceivePdusOk  | methods: 
MSNdis_CoTransmitPduErrors  | methods: 
MSNdis_CoTransmitPdusOk  | methods: 
MSNdis_CountedString  | methods: 
MSNdis_CoVendorDescription  | methods: 
MSNdis_CoVendorDriverVersion  | methods: 
MSNdis_CoVendorId  | methods: 
MSNdis_CurrentLookahead  | methods: 
MSNdis_CurrentPacketFilter  | methods: 
MSNdis_DeviceWakeOnMagicPacketOnly  | methods: 
MSNdis_DriverVersion  | methods: 
MSNdis_EnumerateAdapter  | methods: 
MSNdis_EnumerateAdapterEx  | methods: 
MSNdis_EnumeratePorts  | methods: WmiEnumeratePorts
MSNdis_EnumerateReceiveFilters  | methods: WmiEnumReceiveFilters
MSNdis_EnumerateReceiveQueues  | methods: WmiEnumReceiveQueues
MSNdis_EthernetCurrentAddress  | methods: 
MSNdis_EthernetMacOptions  | methods: 
MSNdis_EthernetMaximumMulticastListSize  | methods: 
MSNdis_EthernetMoreTransmitCollisions  | methods: 
MSNdis_EthernetMulticastList  | methods: 
MSNdis_EthernetOneTransmitCollision  | methods: 
MSNdis_EthernetPermanentAddress  | methods: 
MSNdis_EthernetReceiveErrorAlignment  | methods: 
MSNdis_FddiAttachmentType  | methods: 
MSNdis_FddiDownstreamNodeLong  | methods: 
MSNdis_FddiFrameErrors  | methods: 
MSNdis_FddiFramesLost  | methods: 
MSNdis_FddiLConnectionState  | methods: 
MSNdis_FddiLctFailures  | methods: 
MSNdis_FddiLemRejects  | methods: 
MSNdis_FddiLongCurrentAddress  | methods: 
MSNdis_FddiLongMaximumListSize  | methods: 
MSNdis_FddiLongMulticastList  | methods: 
MSNdis_FddiLongPermanentAddress  | methods: 
MSNdis_FddiRingManagmentState  | methods: 
MSNdis_FddiShortCurrentAddress  | methods: 
MSNdis_FddiShortMaximumListSize  | methods: 
MSNdis_FddiShortMulticastList  | methods: 
MSNdis_FddiShortPermanentAddress  | methods: 
MSNdis_FddiUpstreamNodeLong  | methods: 
MSNdis_GroupAffinity  | methods: 
MSNdis_HardwareStatus  | methods: 
MSNdis_HDSplitCurrentConfig  | methods: WmiQueryHDSplitCurrentConfig
MSNdis_HDSplitParameters  | methods: 
MSNdis_InterruptModerationParameters  | methods: 
MSNdis_LinkParameters  | methods: 
MSNdis_LinkSpeed  | methods: 
MSNdis_LinkState  | methods: WmiQueryLinkState
MSNdis_LinkStateData  | methods: 
MSNdis_MacOptions  | methods: 
MSNdis_MaximumFrameSize  | methods: 
MSNdis_MaximumLookahead  | methods: 
MSNdis_MaximumSendPackets  | methods: 
MSNdis_MaximumTotalSize  | methods: 
MSNdis_MediaConnectStatus  | methods: 
MSNdis_MediaInUse  | methods: 
MSNdis_MediaSupported  | methods: 
MSNdis_NdisEnumerateVc  | methods: 
MSNdis_NetworkAddress  | methods: 
MSNdis_NetworkDirectAdapterCapabilities  | methods: 
MSNdis_NetworkDirectAdapterInfo  | methods: 
MSNdis_NetworkDirectCapabilities  | methods: 
MSNdis_NetworkDirectState  | methods: 
MSNdis_NetworkDirectVersion  | methods: 
MSNdis_NetworkLinkSpeed  | methods: 
MSNdis_NetworkShortAddress  | methods: 
MSNdis_NicSwitchCapabilities  | methods: 
MSNdis_NotifyAdapterArrival  | methods: 
MSNdis_NotifyAdapterRemoval  | methods: 
MSNdis_NotifyFilterArrival  | methods: 
MSNdis_NotifyFilterRemoval  | methods: 
MSNdis_NotifyVcArrival  | methods: 
MSNdis_NotifyVcRemoval  | methods: 
MSNdis_ObjectHeader  | methods: 
MSNdis_PciDeviceProperty  | methods: 
MSNdis_PhysicalMediumType  | methods: 
MSNdis_PMAdminConfig  | methods: 
MSNdis_PMAdminConfigParam  | methods: 
MSNdis_PMAdminConfigState  | methods: 
MSNdis_PMCapabilities  | methods: 
MSNdis_PMCapabilitiesParam  | methods: 
MSNdis_PMCapabilityState  | methods: 
MSNdis_PortArray  | methods: 
MSNdis_PortAuthParameters  | methods: 
MSNdis_PortChar  | methods: 
MSNdis_PortStateData  | methods: 
MSNdis_QueryInterruptModeration  | methods: WmiQueryInterruptModeration
MSNdis_QueryNicSwitchCurrentCapabilities  | methods: WmiQueryNICSwitchCurrentCapabilities
MSNdis_QueryNicSwitchHardwareCapabilities  | methods: WmiQueryNICSwitchHardwareCapabilities
MSNdis_QueryPciDeviceCustomProperty  | methods: WmiQueryPciDeviceCustomProperty
MSNdis_QueryPhysicalMediumTypeEx  | methods: WmiQueryPhysicalMediumTypeEx
MSNdis_QueryPortState  | methods: WmiQueryPortState
MSNdis_QueryReceiveFilterCurrentCapabilities  | methods: WmiQueryReceiveFilterCurrentCapabilities
MSNdis_QueryReceiveFilterGlobalParameters  | methods: WmiQueryReceiveFilterGlobalParameters
MSNdis_QueryReceiveFilterHardwareCapabilities  | methods: WmiQueryReceiveFilterHardwareCapabilities
MSNdis_QueryReceiveFilterParameters  | methods: WmiQueryReceiveFilterParameters
MSNdis_QueryReceiveQueueParameters  | methods: WmiQueryReceiveQueueParameters
MSNdis_QueryStatisticsInfo  | methods: WmiQueryStatisticsInfo
MSNdis_ReceiveBlockSize  | methods: 
MSNdis_ReceiveBufferSpace  | methods: 
MSNdis_ReceiveError  | methods: 
MSNdis_ReceiveFilterCapabilities  | methods: 
MSNdis_ReceiveFilterFieldParameters  | methods: 
MSNdis_ReceiveFilterGlobalParameters  | methods: 
MSNdis_ReceiveFilterInfo  | methods: 
MSNdis_ReceiveFilterInfoArray  | methods: 
MSNdis_ReceiveFilterParameters  | methods: 
MSNdis_ReceiveNoBuffer  | methods: 
MSNdis_ReceiveQueueInfo  | methods: 
MSNdis_ReceiveQueueInfoArray  | methods: 
MSNdis_ReceiveQueueParameters  | methods: 
MSNdis_ReceiveScaleCapabilities  | methods: WmiQueryReceiveScaleCapabilities
MSNdis_ReceivesOk  | methods: 
MSNdis_RSSEnabled  | methods: 
MSNdis_SetHDSplitParameters  | methods: WmiSetHDSplitParameters
MSNdis_SetInterruptModeration  | methods: WmiSetInterruptModeration
MSNdis_SetLinkParameters  | methods: WmiSetLinkParameters
MSNdis_SetPortParameters  | methods: WmiSetPortParameters
MSNdis_SetTcpOffloadParameters  | methods: WmiSetTcpOffloadParameters
MSNdis_StatisticsInfo  | methods: 
MSNdis_StatusDevicePowerOff  | methods: 
MSNdis_StatusDevicePowerOffEx  | methods: 
MSNdis_StatusDevicePowerOn  | methods: 
MSNdis_StatusDevicePowerOnEx  | methods: 
MSNdis_StatusDot11AssociationCompletion  | methods: 
MSNdis_StatusDot11AssociationStart  | methods: 
MSNdis_StatusDot11ConnectionCompletion  | methods: 
MSNdis_StatusDot11ConnectionStart  | methods: 
MSNdis_StatusDot11Disassociation  | methods: 
MSNdis_StatusDot11LinkQuality  | methods: 
MSNdis_StatusDot11MPDUMaxLengthChange  | methods: 
MSNdis_StatusDot11PhyStateChange  | methods: 
MSNdis_StatusDot11PmkidCandidateList  | methods: 
MSNdis_StatusDot11RoamingCompletion  | methods: 
MSNdis_StatusDot11RoamingStart  | methods: 
MSNdis_StatusDot11ScanConfirm  | methods: 
MSNdis_StatusDot11TkipmicFailure  | methods: 
MSNdis_StatusExternalConnectivityChange  | methods: 
MSNdis_StatusHDSplitCurrentConfig  | methods: 
MSNdis_StatusLinkSpeedChange  | methods: 
MSNdis_StatusLinkState  | methods: 
MSNdis_StatusMediaConnect  | methods: 
MSNdis_StatusMediaDisconnect  | methods: 
MSNdis_StatusMediaSpecificIndication  | methods: 
MSNdis_StatusMediaSpecificIndicationEx  | methods: 
MSNdis_StatusNetworkChange  | methods: 
MSNdis_StatusOperationalStatus  | methods: 
MSNdis_StatusPacketFilterChange  | methods: 
MSNdis_StatusPortState  | methods: 
MSNdis_StatusProtocolBind  | methods: 
MSNdis_StatusProtocolUnbind  | methods: 
MSNdis_StatusResetEnd  | methods: 
MSNdis_StatusResetStart  | methods: 
MSNdis_StatusTaskOffloadChange  | methods: 
MSNdis_TcpConnectionOffloadCurrentConfig  | methods: WmiQueryTcpConnectionOffloadCurrentConfig
MSNdis_TcpConnectionOffloadHardwareConfig  | methods: WmiQueryTcpConnectionOffloadHardwareConfig
MSNdis_TcpOffloadCurrentConfig  | methods: WmiQueryCurrentOffloadConfig
MSNdis_TcpOffloadHardwareConfig  | methods: WmiQueryHardwareOffloadConfig
MSNdis_TcpOffloadParameters  | methods: 
MSNdis_TokenRingCurrentAddress  | methods: 
MSNdis_TokenRingCurrentFunctional  | methods: 
MSNdis_TokenRingCurrentGroup  | methods: 
MSNdis_TokenRingCurrentRingState  | methods: 
MSNdis_TokenRingCurrentRingStatus  | methods: 
MSNdis_TokenRingLastOpenStatus  | methods: 
MSNdis_TokenRingLineErrors  | methods: 
MSNdis_TokenRingLostFrames  | methods: 
MSNdis_TokenRingPermanentAddress  | methods: 
MSNdis_TransmitBlockSize  | methods: 
MSNdis_TransmitBufferSpace  | methods: 
MSNdis_TransmitsError  | methods: 
MSNdis_TransmitsOk  | methods: 
MSNdis_VendorDescription  | methods: 
MSNdis_VendorDriverVersion  | methods: 
MSNdis_VendorID  | methods: 
MSNdis_VlanIdentifier  | methods: 
MSNdis_WmiEnumAdapter  | methods: 
MSNdis_WmiHDSplitCurrentConfig  | methods: 
MSNdis_WmiIPSecOffloadV1  | methods: 
MSNdis_WmiIPSecOffloadV1_IPv4AH  | methods: 
MSNdis_WmiIPSecOffloadV1_IPv4ESP  | methods: 
MSNdis_WmiIPSecOffloadV1_Supported  | methods: 
MSNdis_WmiMethodHeader  | methods: 
MSNdis_WmiOffload  | methods: 
MSNdis_WmiOutputInfo  | methods: 
MSNdis_WmiReceiveScaleCapabilities  | methods: 
MSNdis_WmiSetHeader  | methods: 
MSNdis_WmiTcpConnectionOffload  | methods: 
MSNdis_WmiTcpIpChecksumOffload  | methods: 
MSNdis_WmiTcpIpChecksumOffload_IPv4TransmitReceive  | methods: 
MSNdis_WmiTcpIpChecksumOffload_IPv6TransmitReceive  | methods: 
MSNdis_WmiTcpLargeSendOffloadV1  | methods: 
MSNdis_WmiTcpLargeSendOffloadV1_IPv4  | methods: 
MSNdis_WmiTcpLargeSendOffloadV2  | methods: 
MSNdis_WmiTcpLargeSendOffloadV2_IPv4  | methods: 
MSNdis_WmiTcpLargeSendOffloadV2_IPv6  | methods: 
MSNetLogonTrace  | methods: 
MSNT_CKCLTraceProvider  | methods: 
MSNT_FileBaseTrace_OptionalData  | methods: 
MSNT_FileBaseTrace_Set1  | methods: 
MSNT_FileBaseTrace_Set2  | methods: 
MSNT_FileBaseTrace_VolumeToLog  | methods: 
MSNT_SystemTrace  | methods: 
MSParallel  | methods: 
MSParallel_AllocFreeCounts  | methods: 
MSParallel_DeviceBytesTransferred  | methods: 
MSPower  | methods: 
MSPower_DeviceEnable  | methods: 
MSPower_DeviceWakeEnable  | methods: 
MSProcessorClass  | methods: 
MSRedbook  | methods: 
MSRedbook_DriverInformation  | methods: 
MSRedbook_Performance  | methods: 
MSSAMTrace  | methods: 
MSSerial  | methods: 
MSSerial_CommInfo  | methods: 
MSSerial_CommProperties  | methods: 
MSSerial_HardwareConfiguration  | methods: 
MSSerial_PerformanceInformation  | methods: 
MSSerial_PortName  | methods: 
MSSmBios_RawSMBiosTables  | methods: 
MSSmBios_SMBiosEventlog  | methods: 
MSSmBios_Sysid1394  | methods: 
MSSmBios_Sysid1394List  | methods: 
MSSmBios_SysidUUID  | methods: 
MSSmBios_SysidUUIDList  | methods: 
MSStorageDriver  | methods: 
MSStorageDriver_ATAPISmartData  | methods: 
MSStorageDriver_ClassErrorLog  | methods: 
MSStorageDriver_ClassErrorLogEntry  | methods: 
MSStorageDriver_FailurePredictData  | methods: 
MSStorageDriver_FailurePredictEvent  | methods: 
MSStorageDriver_FailurePredictFunction  | methods: AllowPerformanceHit,EnableDisableHardwareFailurePrediction,EnableDisableFailurePredictionPolling,GetFailurePredictionCapability,EnableOfflineDiags,ReadLogSectors,WriteLogSectors,ExecuteSelfTest
MSStorageDriver_FailurePredictStatus  | methods: 
MSStorageDriver_FailurePredictThresholds  | methods: 
MSStorageDriver_ScsiInfoExceptions  | methods: 
MSStorageDriver_ScsiRequestBlock  | methods: 
MSStorageDriver_SenseData  | methods: 
MSTapeDriveParam  | methods: 
MSTapeDriveProblemEvent  | methods: 
MSTapeDriver  | methods: 
MSTapeMediaCapacity  | methods: 
MSTapeProblemDeviceError  | methods: 
MSTapeProblemIoError  | methods: 
MSTapeSymbolicName  | methods: 
MSV1_0DebugTrace  | methods: 
MSV1_0Trace  | methods: 
MSVerifierIrpLogEntry  | methods: 
MSVerifierIrpLogInformation  | methods: 
MSWmi_Guid  | methods: 
MSWmi_GuidRegistrationInfo  | methods: 
MSWmi_MofData  | methods: 
MSWmi_PnPDeviceId  | methods: 
MSWmi_PnPInstanceNames  | methods: 
MSWmi_ProviderInfo  | methods: 
MuiTrace  | methods: 
MuiTraceData  | methods: 
MuiTraceData_String  | methods: 
MupLog  | methods: 
NCSICtlGuid  | methods: 
NetAdapterCimNDISWMI  | methods: 
NetCx_DevicePowerStateChange  | methods: 
NETIO  | methods: 
NetworkItemFactoryTrace  | methods: 
NetworkProfileManagerTraceGUID  | methods: 
NgenBindRejectInfo  | methods: 
NlaSvcTraceCtlGuid  | methods: 
NlSecChanlSetup  | methods: 
NlSecChanlSetup_End  | methods: 
NlSecChanlSetup_Start  | methods: 
NlServerAuth  | methods: 
NlServerAuth_End  | methods: 
NlServerAuth_Start  | methods: 
NSHIPSEC  | methods: 
NtfsLog  | methods: 
NtlmClientInitialize  | methods: 
NtlmClientInitialize_End  | methods: 
NtlmClientInitialize_Start  | methods: 
NtlmLogonUser  | methods: 
NtlmLogonUser_End  | methods: 
NtlmLogonUser_Start  | methods: 
NtlmServerAccept  | methods: 
NtlmServerAccept_End  | methods: 
NtlmServerAccept_Info  | methods: 
NtlmServerAccept_Start  | methods: 
NtlmValidateUser  | methods: 
NtlmValidateUser_End  | methods: 
NtlmValidateUser_Start  | methods: 
NvWmiBrightness  | methods: NvGetSetBrightnessLevel,NvGetSetBrightnessSource
NwfDrvCtlGuid  | methods: 
NwfMsmCtlGuid  | methods: 
ObHandleDuplicateEvent  | methods: 
ObHandleEvent  | methods: 
ObHandleRundownEvent  | methods: 
ObjectsGuid  | methods: 
ObObjectEvent  | methods: 
ObReferenceEvent  | methods: 
ObTrace  | methods: 
ObTypeEvent  | methods: 
OIDPackage  | methods: 
OpenPolicy  | methods: 
OpenPolicy_End  | methods: 
OpenPolicy_Start  | methods: 
OpenTrustedDomain  | methods: 
OpenTrustedDomain_End  | methods: 
OpenTrustedDomain_Start  | methods: 
OpTrustedDomByName  | methods: 
OpTrustedDomByName_End  | methods: 
OpTrustedDomByName_Start  | methods: 
OutBuffer  | methods: 
PageFault  | methods: 
PageFault_HardFault  | methods: 
PageFault_HeapRangeCreate  | methods: 
PageFault_HeapRangeDestroy  | methods: 
PageFault_HeapRangeRundown_V2  | methods: 
PageFault_HeapRangeRundown_V3  | methods: 
PageFault_HeapRangeRundown_V4  | methods: 
PageFault_HeapRangeTypeGroup  | methods: 
PageFault_ImageLoadBacked  | methods: 
PageFault_MemReset  | methods: 
PageFault_TypeGroup1  | methods: 
PageFault_V2  | methods: 
PageFault_VirtualAlloc  | methods: 
PageFault_VirtualAllocRundown  | methods: 
PageFault_VirtualRotate  | methods: 
PerfInfo  | methods: 
PerfInfo_V0  | methods: 
PerfInfo_V1  | methods: 
PerfInfo_V2  | methods: 
PerformanceState  | methods: 
PerformanceStates  | methods: 
PlatformLibraryTraceGuid  | methods: 
PlugPlay  | methods: 
PmcCounterConfig_V2  | methods: 
PmcCounterCorruption_V2  | methods: 
PmcCounterProfile  | methods: 
PoolAllocFree  | methods: 
PoolSnapshot  | methods: 
PoolTrace  | methods: 
PortCls_AudioEngine  | methods: 
PortCls_IrpProcessing  | methods: 
PortCls_PinState  | methods: 
PortCls_Position  | methods: 
PortCls_PowerPolicy  | methods: 
PortCls_PowerState  | methods: 
PortCls_ServiceGroup  | methods: 
PortCls_SubDevice  | methods: 
PortClsEvent  | methods: 
PowerEvents  | methods: 
Process  | methods: 
Process_Defunct_TypeGroup1  | methods: 
Process_Terminate_TypeGroup1  | methods: 
Process_V0  | methods: 
Process_V0_TypeGroup1  | methods: 
Process_V1  | methods: 
Process_V1_TypeGroup1  | methods: 
Process_V2  | methods: 
Process_V2_TypeGroup1  | methods: 
Process_V2_TypeGroup2  | methods: 
Process_V2_TypeGroup3  | methods: 
Process_V2_TypeGroup4  | methods: 
Process_V2_TypeGroup5  | methods: 
Process_V3  | methods: 
Process_V3_TypeGroup1  | methods: 
Process_V4  | methods: 
Process_V4_TypeGroup1  | methods: 
ProcessorAcpiCsd  | methods: 
ProcessorAcpiCsdDependency  | methods: 
ProcessorAcpiCst  | methods: 
ProcessorAcpiCstState  | methods: 
ProcessorAcpiTsd  | methods: 
ProcessorAcpiTsdDependency  | methods: 
ProcessorAcpiTss  | methods: 
ProcessorAcpiTssState  | methods: 
ProcessorAcpiXpss  | methods: 
ProcessorAcpiXpssState  | methods: 
ProcessorBiosCStates  | methods: 
ProcessorBiosInfo  | methods: 
ProcessorBiosTStates  | methods: 
ProcessorCStateEvent  | methods: 
ProcessorPerformance  | methods: 
ProcessorPerfStateEvent  | methods: 
ProcessorStatus  | methods: 
ProcessorThrottleStateEvent  | methods: 
qoswmiQOSWMI  | methods: 
QryInfoTrustDom  | methods: 
QryInfoTrustDom_End  | methods: 
QryInfoTrustDom_Start  | methods: 
QryTrstDomByNam  | methods: 
QryTrstDomByNam_End  | methods: 
QryTrstDomByNam_Start  | methods: 
QueryDomainInfoPolicy  | methods: 
QueryDomainInfoPolicy_End  | methods: 
QueryDomainInfoPolicy_Start  | methods: 
QueryForestTrustInfo  | methods: 
QueryForestTrustInfo_End  | methods: 
QueryForestTrustInfo_Start  | methods: 
QueryInfoPolicy  | methods: 
QueryInfoPolicy_End  | methods: 
QueryInfoPolicy_Start  | methods: 
QueryInfoPolicy2  | methods: 
QueryInfoPolicy2_End  | methods: 
QueryInfoPolicy2_Start  | methods: 
QuerySecret  | methods: 
QuerySecret_End  | methods: 
QuerySecret_Start  | methods: 
RDComplete  | methods: 
RDComplete_V0  | methods: 
RDComplete_V1  | methods: 
ReadyThread  | methods: 
RefDefNgenBindRejectInfo  | methods: 
ReflectorTraceGuid  | methods: 
Refsv1WppTrace  | methods: 
RefsWppTrace  | methods: 
RegisteredGuids  | methods: 
Registry  | methods: 
Registry_ChangeNotification  | methods: 
Registry_Config  | methods: 
Registry_Counters  | methods: 
Registry_HiveDestroy  | methods: 
Registry_HiveDirty  | methods: 
Registry_HiveInitialize  | methods: 
Registry_HiveLink  | methods: 
Registry_HiveRundown  | methods: 
Registry_TxR  | methods: 
Registry_TypeGroup1  | methods: 
Registry_V0  | methods: 
Registry_V0_TypeGroup1  | methods: 
Registry_V1  | methods: 
Registry_V1_TypeGroup1  | methods: 
Regular  | methods: 
RestartEEBegin  | methods: 
RestartManager  | methods: 
ResumeThread  | methods: 
RetireIOThread  | methods: 
RetireWorkerThread  | methods: 
RFSMon  | methods: 
RMPPackage  | methods: 
RSPNDR  | methods: 
RSSPlatformBackgroundsyncPerformanceTraceProvider  | methods: 
RSSPlatformBackgroundsyncTraceProvider  | methods: 
RSSPlatformPerformanceTraceProvider  | methods: 
RSSPlatformTraceProvider  | methods: 
RT_LostEvent  | methods: 
RundownComplete  | methods: 
SamAddMemGrp  | methods: 
SamAddMemGrp_End  | methods: 
SamAddMemGrp_Start  | methods: 
SamAddMemToAlias  | methods: 
SamAddMemToAlias_End  | methods: 
SamAddMemToAlias_Start  | methods: 
SamChangePwdComputer  | methods: 
SamChangePwdComputer_End  | methods: 
SamChangePwdComputer_Start  | methods: 
SamCloseHandle  | methods: 
SamCloseHandle_End  | methods: 
SamCloseHandle_Start  | methods: 
SamCompCreate  | methods: 
SamCompCreate_End  | methods: 
SamCompCreate_Start  | methods: 
SamCompPwdSet  | methods: 
SamCompPwdSet_End  | methods: 
SamCompPwdSet_Start  | methods: 
SamConnect  | methods: 
SamConnect_End  | methods: 
SamConnect_Start  | methods: 
SamCreateAliasInDom  | methods: 
SamCreateAliasInDom_End  | methods: 
SamCreateAliasInDom_Start  | methods: 
SamDeleteAlias  | methods: 
SamDeleteAlias_End  | methods: 
SamDeleteAlias_Start  | methods: 
SamDeleteGrp  | methods: 
SamDeleteGrp_End  | methods: 
SamDeleteGrp_Start  | methods: 
SamDeleteUser  | methods: 
SamDeleteUser_End  | methods: 
SamDeleteUser_Start  | methods: 
SamDelMemGrp  | methods: 
SamDelMemGrp_End  | methods: 
SamDelMemGrp_Start  | methods: 
SamEnumAliasesInDom  | methods: 
SamEnumAliasesInDom_End  | methods: 
SamEnumAliasesInDom_Start  | methods: 
SamEnumDomInSamSrv  | methods: 
SamEnumDomInSamSrv_End  | methods: 
SamEnumDomInSamSrv_Start  | methods: 
SamEnumGrpsInDom  | methods: 
SamEnumGrpsInDom_End  | methods: 
SamEnumGrpsInDom_Start  | methods: 
SamEnumUsersInDom  | methods: 
SamEnumUsersInDom_End  | methods: 
SamEnumUsersInDom_Start  | methods: 
SamGetAliasMem  | methods: 
SamGetAliasMem_End  | methods: 
SamGetAliasMem_Start  | methods: 
SamGetBootKeyInfo  | methods: 
SamGetBootKeyInfo_End  | methods: 
SamGetBootKeyInfo_Start  | methods: 
SamGetDisplayEnumIdx  | methods: 
SamGetDisplayEnumIdx_End  | methods: 
SamGetDisplayEnumIdx_Start  | methods: 
SamGetDomPwdInfo  | methods: 
SamGetDomPwdInfo_End  | methods: 
SamGetDomPwdInfo_Start  | methods: 
SamGetGrpsForUser  | methods: 
SamGetGrpsForUser_End  | methods: 
SamGetGrpsForUser_Start  | methods: 
SamGetMemInAlias  | methods: 
SamGetMemInAlias_End  | methods: 
SamGetMemInAlias_Start  | methods: 
SamGetMemInGrp  | methods: 
SamGetMemInGrp_End  | methods: 
SamGetMemInGrp_Start  | methods: 
SamGetUserDomPwdInfo  | methods: 
SamGetUserDomPwdInfo_End  | methods: 
SamGetUserDomPwdInfo_Start  | methods: 
SamGrpCreate  | methods: 
SamGrpCreate_End  | methods: 
SamGrpCreate_Start  | methods: 
SamIdByName  | methods: 
SamIdByName_End  | methods: 
SamIdByName_Start  | methods: 
SamLookupDomInSamSrv  | methods: 
SamLookupDomInSamSrv_End  | methods: 
SamLookupDomInSamSrv_Start  | methods: 
SamNameById  | methods: 
SamNameById_End  | methods: 
SamNameById_Start  | methods: 
SamOpenAlias  | methods: 
SamOpenAlias_End  | methods: 
SamOpenAlias_Start  | methods: 
SamOpenDomain  | methods: 
SamOpenDomain_End  | methods: 
SamOpenDomain_Start  | methods: 
SamOpenGrp  | methods: 
SamOpenGrp_End  | methods: 
SamOpenGrp_Start  | methods: 
SamOpenUser  | methods: 
SamOpenUser_End  | methods: 
SamOpenUser_Start  | methods: 
SampledProfile  | methods: 
SampledProfile_V1  | methods: 
SampledProfileInterval_V2  | methods: 
SampledProfileInterval_V3  | methods: 
SamProcessMappedAttributes  | methods: 
SamProcessMappedAttributes_End  | methods: 
SamProcessMappedAttributes_Start  | methods: 
SamPwdChng  | methods: 
SamPwdChng_End  | methods: 
SamPwdChng_Start  | methods: 
SamPwdPushPdc  | methods: 
SamPwdPushPdc_End  | methods: 
SamPwdPushPdc_Start  | methods: 
SamQueryDisplayInfo  | methods: 
SamQueryDisplayInfo_End  | methods: 
SamQueryDisplayInfo_Start  | methods: 
SamQueryInfoAlias  | methods: 
SamQueryInfoAlias_End  | methods: 
SamQueryInfoAlias_Start  | methods: 
SamQueryInfoDom  | methods: 
SamQueryInfoDom_End  | methods: 
SamQueryInfoDom_Start  | methods: 
SamQueryInfoGrp  | methods: 
SamQueryInfoGrp_End  | methods: 
